X,Y,Z,Mic1,Mic2,Mic3,Mic4,Mic5,Mic6,Mic7,Mic8
0,0,0,0.000000,0.008889,0.008889,0.012571,0.008889,0.012571,0.012571,0.015396
0,0,2,0.001778,0.007111,0.009065,0.011383,0.009065,0.011383,0.012696,0.014443
0,0,4,0.003556,0.005333,0.009574,0.010366,0.009574,0.010366,0.013064,0.013655
0,0,6,0.005333,0.003556,0.010366,0.009574,0.010366,0.009574,0.013655,0.013064
0,0,8,0.007111,0.001778,0.011383,0.009065,0.011383,0.009065,0.014443,0.012696
0,0,10,0.008889,0.000000,0.012571,0.008889,0.012571,0.008889,0.015396,0.012571
0,2,0,0.001778,0.009065,0.007111,0.011383,0.009065,0.012696,0.011383,0.014443
0,2,2,0.002514,0.007330,0.007330,0.010057,0.009238,0.011521,0.011521,0.013422
0,2,4,0.003975,0.005622,0.007950,0.008889,0.009737,0.010517,0.011926,0.012571
0,2,6,0.005622,0.003975,0.008889,0.007950,0.010517,0.009737,0.012571,0.011926
0,2,8,0.007330,0.002514,0.010057,0.007330,0.011521,0.009238,0.013422,0.011521
0,2,10,0.009065,0.001778,0.011383,0.007111,0.012696,0.009065,0.014443,0.011383
0,4,0,0.003556,0.009574,0.005333,0.010366,0.009574,0.013064,0.010366,0.013655
0,4,2,0.003975,0.007950,0.005622,0.008889,0.009737,0.011926,0.010517,0.012571
0,4,4,0.005028,0.006410,0.006410,0.007542,0.010213,0.010959,0.010959,0.011658
0,4,6,0.006410,0.005028,0.007542,0.006410,0.010959,0.010213,0.011658,0.010959
0,4,8,0.007950,0.003975,0.008889,0.005622,0.011926,0.009737,0.012571,0.010517
0,4,10,0.009574,0.003556,0.010366,0.005333,0.013064,0.009574,0.013655,0.010366
0,6,0,0.005333,0.010366,0.003556,0.009574,0.010366,0.013655,0.009574,0.013064
0,6,2,0.005622,0.008889,0.003975,0.007950,0.010517,0.012571,0.009737,0.011926
0,6,4,0.006410,0.007542,0.005028,0.006410,0.010959,0.011658,0.010213,0.010959
0,6,6,0.007542,0.006410,0.006410,0.005028,0.011658,0.010959,0.010959,0.010213
0,6,8,0.008889,0.005622,0.007950,0.003975,0.012571,0.010517,0.011926,0.009737
0,6,10,0.010366,0.005333,0.009574,0.003556,0.013655,0.010366,0.013064,0.009574
0,8,0,0.007111,0.011383,0.001778,0.009065,0.011383,0.014443,0.009065,0.012696
0,8,2,0.007330,0.010057,0.002514,0.007330,0.011521,0.013422,0.009238,0.011521
0,8,4,0.007950,0.008889,0.003975,0.005622,0.011926,0.012571,0.009737,0.010517
0,8,6,0.008889,0.007950,0.005622,0.003975,0.012571,0.011926,0.010517,0.009737
0,8,8,0.010057,0.007330,0.007330,0.002514,0.013422,0.011521,0.011521,0.009238
0,8,10,0.011383,0.007111,0.009065,0.001778,0.014443,0.011383,0.012696,0.009065
0,10,0,0.008889,0.012571,0.000000,0.008889,0.012571,0.015396,0.008889,0.012571
0,10,2,0.009065,0.011383,0.001778,0.007111,0.012696,0.014443,0.009065,0.011383
0,10,4,0.009574,0.010366,0.003556,0.005333,0.013064,0.013655,0.009574,0.010366
0,10,6,0.010366,0.009574,0.005333,0.003556,0.013655,0.013064,0.010366,0.009574
0,10,8,0.011383,0.009065,0.007111,0.001778,0.014443,0.012696,0.011383,0.009065
0,10,10,0.012571,0.008889,0.008889,0.000000,0.015396,0.012571,0.012571,0.008889
2,0,0,0.001778,0.009065,0.009065,0.012696,0.007111,0.011383,0.011383,0.014443
2,0,2,0.002514,0.007330,0.009238,0.011521,0.007330,0.010057,0.011521,0.013422
2,0,4,0.003975,0.005622,0.009737,0.010517,0.007950,0.008889,0.011926,0.012571
2,0,6,0.005622,0.003975,0.010517,0.009737,0.008889,0.007950,0.012571,0.011926
2,0,8,0.007330,0.002514,0.011521,0.009238,0.010057,0.007330,0.013422,0.011521
2,0,10,0.009065,0.001778,0.012696,0.009065,0.011383,0.007111,0.014443,0.011383
2,2,0,0.002514,0.009238,0.007330,0.011521,0.007330,0.011521,0.010057,0.013422
2,2,2,0.003079,0.007542,0.007542,0.010213,0.007542,0.010213,0.010213,0.012317
2,2,4,0.004355,0.005896,0.008147,0.009065,0.008147,0.009065,0.010667,0.011383
2,2,6,0.005896,0.004355,0.009065,0.008147,0.009065,0.008147,0.011383,0.010667
2,2,8,0.007542,0.003079,0.010213,0.007542,0.010213,0.007542,0.012317,0.010213
2,2,10,0.009238,0.002514,0.011521,0.007330,0.011521,0.007330,0.013422,0.010057
2,4,0,0.003975,0.009737,0.005622,0.010517,0.007950,0.011926,0.008889,0.012571
2,4,2,0.004355,0.008147,0.005896,0.009065,0.008147,0.010667,0.009065,0.011383
2,4,4,0.005333,0.006652,0.006652,0.007749,0.008709,0.009574,0.009574,0.010366
2,4,6,0.006652,0.005333,0.007749,0.006652,0.009574,0.008709,0.010366,0.009574
2,4,8,0.008147,0.004355,0.009065,0.005896,0.010667,0.008147,0.011383,0.009065
2,4,10,0.009737,0.003975,0.010517,0.005622,0.011926,0.007950,0.012571,0.008889
2,6,0,0.005622,0.010517,0.003975,0.009737,0.008889,0.012571,0.007950,0.011926
2,6,2,0.005896,0.009065,0.004355,0.008147,0.009065,0.011383,0.008147,0.010667
2,6,4,0.006652,0.007749,0.005333,0.006652,0.009574,0.010366,0.008709,0.009574
2,6,6,0.007749,0.006652,0.006652,0.005333,0.010366,0.009574,0.009574,0.008709
2,6,8,0.009065,0.005896,0.008147,0.004355,0.011383,0.009065,0.010667,0.008147
2,6,10,0.010517,0.005622,0.009737,0.003975,0.012571,0.008889,0.011926,0.007950
2,8,0,0.007330,0.011521,0.002514,0.009238,0.010057,0.013422,0.007330,0.011521
2,8,2,0.007542,0.010213,0.003079,0.007542,0.010213,0.012317,0.007542,0.010213
2,8,4,0.008147,0.009065,0.004355,0.005896,0.010667,0.011383,0.008147,0.009065
2,8,6,0.009065,0.008147,0.005896,0.004355,0.011383,0.010667,0.009065,0.008147
2,8,8,0.010213,0.007542,0.007542,0.003079,0.012317,0.010213,0.010213,0.007542
2,8,10,0.011521,0.007330,0.009238,0.002514,0.013422,0.010057,0.011521,0.007330
2,10,0,0.009065,0.012696,0.001778,0.009065,0.011383,0.014443,0.007111,0.011383
2,10,2,0.009238,0.011521,0.002514,0.007330,0.011521,0.013422,0.007330,0.010057
2,10,4,0.009737,0.010517,0.003975,0.005622,0.011926,0.012571,0.007950,0.008889
2,10,6,0.010517,0.009737,0.005622,0.003975,0.012571,0.011926,0.008889,0.007950
2,10,8,0.011521,0.009238,0.007330,0.002514,0.013422,0.011521,0.010057,0.007330
2,10,10,0.012696,0.009065,0.009065,0.001778,0.014443,0.011383,0.011383,0.007111
4,0,0,0.003556,0.009574,0.009574,0.013064,0.005333,0.010366,0.010366,0.013655
4,0,2,0.003975,0.007950,0.009737,0.011926,0.005622,0.008889,0.010517,0.012571
4,0,4,0.005028,0.006410,0.010213,0.010959,0.006410,0.007542,0.010959,0.011658
4,0,6,0.006410,0.005028,0.010959,0.010213,0.007542,0.006410,0.011658,0.010959
4,0,8,0.007950,0.003975,0.011926,0.009737,0.008889,0.005622,0.012571,0.010517
4,0,10,0.009574,0.003556,0.013064,0.009574,0.010366,0.005333,0.013655,0.010366
4,2,0,0.003975,0.009737,0.007950,0.011926,0.005622,0.010517,0.008889,0.012571
4,2,2,0.004355,0.008147,0.008147,0.010667,0.005896,0.009065,0.009065,0.011383
4,2,4,0.005333,0.006652,0.008709,0.009574,0.006652,0.007749,0.009574,0.010366
4,2,6,0.006652,0.005333,0.009574,0.008709,0.007749,0.006652,0.010366,0.009574
4,2,8,0.008147,0.004355,0.010667,0.008147,0.009065,0.005896,0.011383,0.009065
4,2,10,0.009737,0.003975,0.011926,0.007950,0.010517,0.005622,0.012571,0.008889
4,4,0,0.005028,0.010213,0.006410,0.010959,0.006410,0.010959,0.007542,0.011658
4,4,2,0.005333,0.008709,0.006652,0.009574,0.006652,0.009574,0.007749,0.010366
4,4,4,0.006158,0.007330,0.007330,0.008339,0.007330,0.008339,0.008339,0.009238
4,4,6,0.007330,0.006158,0.008339,0.007330,0.008339,0.007330,0.009238,0.008339
4,4,8,0.008709,0.005333,0.009574,0.006652,0.009574,0.006652,0.010366,0.007749
4,4,10,0.010213,0.005028,0.010959,0.006410,0.010959,0.006410,0.011658,0.007542
4,6,0,0.006410,0.010959,0.005028,0.010213,0.007542,0.011658,0.006410,0.010959
4,6,2,0.006652,0.009574,0.005333,0.008709,0.007749,0.010366,0.006652,0.009574
4,6,4,0.007330,0.008339,0.006158,0.007330,0.008339,0.009238,0.007330,0.008339
4,6,6,0.008339,0.007330,0.007330,0.006158,0.009238,0.008339,0.008339,0.007330
4,6,8,0.009574,0.006652,0.008709,0.005333,0.010366,0.007749,0.009574,0.006652
4,6,10,0.010959,0.006410,0.010213,0.005028,0.011658,0.007542,0.010959,0.006410
4,8,0,0.007950,0.011926,0.003975,0.009737,0.008889,0.012571,0.005622,0.010517
4,8,2,0.008147,0.010667,0.004355,0.008147,0.009065,0.011383,0.005896,0.009065
4,8,4,0.008709,0.009574,0.005333,0.006652,0.009574,0.010366,0.006652,0.007749
4,8,6,0.009574,0.008709,0.006652,0.005333,0.010366,0.009574,0.007749,0.006652
4,8,8,0.010667,0.008147,0.008147,0.004355,0.011383,0.009065,0.009065,0.005896
4,8,10,0.011926,0.007950,0.009737,0.003975,0.012571,0.008889,0.010517,0.005622
4,10,0,0.009574,0.013064,0.003556,0.009574,0.010366,0.013655,0.005333,0.010366
4,10,2,0.009737,0.011926,0.003975,0.007950,0.010517,0.012571,0.005622,0.008889
4,10,4,0.010213,0.010959,0.005028,0.006410,0.010959,0.011658,0.006410,0.007542
4,10,6,0.010959,0.010213,0.006410,0.005028,0.011658,0.010959,0.007542,0.006410
4,10,8,0.011926,0.009737,0.007950,0.003975,0.012571,0.010517,0.008889,0.005622
4,10,10,0.013064,0.009574,0.009574,0.003556,0.013655,0.010366,0.010366,0.005333
6,0,0,0.005333,0.010366,0.010366,0.013655,0.003556,0.009574,0.009574,0.013064
6,0,2,0.005622,0.008889,0.010517,0.012571,0.003975,0.007950,0.009737,0.011926
6,0,4,0.006410,0.007542,0.010959,0.011658,0.005028,0.006410,0.010213,0.010959
6,0,6,0.007542,0.006410,0.011658,0.010959,0.006410,0.005028,0.010959,0.010213
6,0,8,0.008889,0.005622,0.012571,0.010517,0.007950,0.003975,0.011926,0.009737
6,0,10,0.010366,0.005333,0.013655,0.010366,0.009574,0.003556,0.013064,0.009574
6,2,0,0.005622,0.010517,0.008889,0.012571,0.003975,0.009737,0.007950,0.011926
6,2,2,0.005896,0.009065,0.009065,0.011383,0.004355,0.008147,0.008147,0.010667
6,2,4,0.006652,0.007749,0.009574,0.010366,0.005333,0.006652,0.008709,0.009574
6,2,6,0.007749,0.006652,0.010366,0.009574,0.006652,0.005333,0.009574,0.008709
6,2,8,0.009065,0.005896,0.011383,0.009065,0.008147,0.004355,0.010667,0.008147
6,2,10,0.010517,0.005622,0.012571,0.008889,0.009737,0.003975,0.011926,0.007950
6,4,0,0.006410,0.010959,0.007542,0.011658,0.005028,0.010213,0.006410,0.010959
6,4,2,0.006652,0.009574,0.007749,0.010366,0.005333,0.008709,0.006652,0.009574
6,4,4,0.007330,0.008339,0.008339,0.009238,0.006158,0.007330,0.007330,0.008339
6,4,6,0.008339,0.007330,0.009238,0.008339,0.007330,0.006158,0.008339,0.007330
6,4,8,0.009574,0.006652,0.010366,0.007749,0.008709,0.005333,0.009574,0.006652
6,4,10,0.010959,0.006410,0.011658,0.007542,0.010213,0.005028,0.010959,0.006410
6,6,0,0.007542,0.011658,0.006410,0.010959,0.006410,0.010959,0.005028,0.010213
6,6,2,0.007749,0.010366,0.006652,0.009574,0.006652,0.009574,0.005333,0.008709
6,6,4,0.008339,0.009238,0.007330,0.008339,0.007330,0.008339,0.006158,0.007330
6,6,6,0.009238,0.008339,0.008339,0.007330,0.008339,0.007330,0.007330,0.006158
6,6,8,0.010366,0.007749,0.009574,0.006652,0.009574,0.006652,0.008709,0.005333
6,6,10,0.011658,0.007542,0.010959,0.006410,0.010959,0.006410,0.010213,0.005028
6,8,0,0.008889,0.012571,0.005622,0.010517,0.007950,0.011926,0.003975,0.009737
6,8,2,0.009065,0.011383,0.005896,0.009065,0.008147,0.010667,0.004355,0.008147
6,8,4,0.009574,0.010366,0.006652,0.007749,0.008709,0.009574,0.005333,0.006652
6,8,6,0.010366,0.009574,0.007749,0.006652,0.009574,0.008709,0.006652,0.005333
6,8,8,0.011383,0.009065,0.009065,0.005896,0.010667,0.008147,0.008147,0.004355
6,8,10,0.012571,0.008889,0.010517,0.005622,0.011926,0.007950,0.009737,0.003975
6,10,0,0.010366,0.013655,0.005333,0.010366,0.009574,0.013064,0.003556,0.009574
6,10,2,0.010517,0.012571,0.005622,0.008889,0.009737,0.011926,0.003975,0.007950
6,10,4,0.010959,0.011658,0.006410,0.007542,0.010213,0.010959,0.005028,0.006410
6,10,6,0.011658,0.010959,0.007542,0.006410,0.010959,0.010213,0.006410,0.005028
6,10,8,0.012571,0.010517,0.008889,0.005622,0.011926,0.009737,0.007950,0.003975
6,10,10,0.013655,0.010366,0.010366,0.005333,0.013064,0.009574,0.009574,0.003556
8,0,0,0.007111,0.011383,0.011383,0.014443,0.001778,0.009065,0.009065,0.012696
8,0,2,0.007330,0.010057,0.011521,0.013422,0.002514,0.007330,0.009238,0.011521
8,0,4,0.007950,0.008889,0.011926,0.012571,0.003975,0.005622,0.009737,0.010517
8,0,6,0.008889,0.007950,0.012571,0.011926,0.005622,0.003975,0.010517,0.009737
8,0,8,0.010057,0.007330,0.013422,0.011521,0.007330,0.002514,0.011521,0.009238
8,0,10,0.011383,0.007111,0.014443,0.011383,0.009065,0.001778,0.012696,0.009065
8,2,0,0.007330,0.011521,0.010057,0.013422,0.002514,0.009238,0.007330,0.011521
8,2,2,0.007542,0.010213,0.010213,0.012317,0.003079,0.007542,0.007542,0.010213
8,2,4,0.008147,0.009065,0.010667,0.011383,0.004355,0.005896,0.008147,0.009065
8,2,6,0.009065,0.008147,0.011383,0.010667,0.005896,0.004355,0.009065,0.008147
8,2,8,0.010213,0.007542,0.012317,0.010213,0.007542,0.003079,0.010213,0.007542
8,2,10,0.011521,0.007330,0.013422,0.010057,0.009238,0.002514,0.011521,0.007330
8,4,0,0.007950,0.011926,0.008889,0.012571,0.003975,0.009737,0.005622,0.010517
8,4,2,0.008147,0.010667,0.009065,0.011383,0.004355,0.008147,0.005896,0.009065
8,4,4,0.008709,0.009574,0.009574,0.010366,0.005333,0.006652,0.006652,0.007749
8,4,6,0.009574,0.008709,0.010366,0.009574,0.006652,0.005333,0.007749,0.006652
8,4,8,0.010667,0.008147,0.011383,0.009065,0.008147,0.004355,0.009065,0.005896
8,4,10,0.011926,0.007950,0.012571,0.008889,0.009737,0.003975,0.010517,0.005622
8,6,0,0.008889,0.012571,0.007950,0.011926,0.005622,0.010517,0.003975,0.009737
8,6,2,0.009065,0.011383,0.008147,0.010667,0.005896,0.009065,0.004355,0.008147
8,6,4,0.009574,0.010366,0.008709,0.009574,0.006652,0.007749,0.005333,0.006652
8,6,6,0.010366,0.009574,0.009574,0.008709,0.007749,0.006652,0.006652,0.005333
8,6,8,0.011383,0.009065,0.010667,0.008147,0.009065,0.005896,0.008147,0.004355
8,6,10,0.012571,0.008889,0.011926,0.007950,0.010517,0.005622,0.009737,0.003975
8,8,0,0.010057,0.013422,0.007330,0.011521,0.007330,0.011521,0.002514,0.009238
8,8,2,0.010213,0.012317,0.007542,0.010213,0.007542,0.010213,0.003079,0.007542
8,8,4,0.010667,0.011383,0.008147,0.009065,0.008147,0.009065,0.004355,0.005896
8,8,6,0.011383,0.010667,0.009065,0.008147,0.009065,0.008147,0.005896,0.004355
8,8,8,0.012317,0.010213,0.010213,0.007542,0.010213,0.007542,0.007542,0.003079
8,8,10,0.013422,0.010057,0.011521,0.007330,0.011521,0.007330,0.009238,0.002514
8,10,0,0.011383,0.014443,0.007111,0.011383,0.009065,0.012696,0.001778,0.009065
8,10,2,0.011521,0.013422,0.007330,0.010057,0.009238,0.011521,0.002514,0.007330
8,10,4,0.011926,0.012571,0.007950,0.008889,0.009737,0.010517,0.003975,0.005622
8,10,6,0.012571,0.011926,0.008889,0.007950,0.010517,0.009737,0.005622,0.003975
8,10,8,0.013422,0.011521,0.010057,0.007330,0.011521,0.009238,0.007330,0.002514
8,10,10,0.014443,0.011383,0.011383,0.007111,0.012696,0.009065,0.009065,0.001778
10,0,0,0.008889,0.012571,0.012571,0.015396,0.000000,0.008889,0.008889,0.012571
10,0,2,0.009065,0.011383,0.012696,0.014443,0.001778,0.007111,0.009065,0.011383
10,0,4,0.009574,0.010366,0.013064,0.013655,0.003556,0.005333,0.009574,0.010366
10,0,6,0.010366,0.009574,0.013655,0.013064,0.005333,0.003556,0.010366,0.009574
10,0,8,0.011383,0.009065,0.014443,0.012696,0.007111,0.001778,0.011383,0.009065
10,0,10,0.012571,0.008889,0.015396,0.012571,0.008889,0.000000,0.012571,0.008889
10,2,0,0.009065,0.012696,0.011383,0.014443,0.001778,0.009065,0.007111,0.011383
10,2,2,0.009238,0.011521,0.011521,0.013422,0.002514,0.007330,0.007330,0.010057
10,2,4,0.009737,0.010517,0.011926,0.012571,0.003975,0.005622,0.007950,0.008889
10,2,6,0.010517,0.009737,0.012571,0.011926,0.005622,0.003975,0.008889,0.007950
10,2,8,0.011521,0.009238,0.013422,0.011521,0.007330,0.002514,0.010057,0.007330
10,2,10,0.012696,0.009065,0.014443,0.011383,0.009065,0.001778,0.011383,0.007111
10,4,0,0.009574,0.013064,0.010366,0.013655,0.003556,0.009574,0.005333,0.010366
10,4,2,0.009737,0.011926,0.010517,0.012571,0.003975,0.007950,0.005622,0.008889
10,4,4,0.010213,0.010959,0.010959,0.011658,0.005028,0.006410,0.006410,0.007542
10,4,6,0.010959,0.010213,0.011658,0.010959,0.006410,0.005028,0.007542,0.006410
10,4,8,0.011926,0.009737,0.012571,0.010517,0.007950,0.003975,0.008889,0.005622
10,4,10,0.013064,0.009574,0.013655,0.010366,0.009574,0.003556,0.010366,0.005333
10,6,0,0.010366,0.013655,0.009574,0.013064,0.005333,0.010366,0.003556,0.009574
10,6,2,0.010517,0.012571,0.009737,0.011926,0.005622,0.008889,0.003975,0.007950
10,6,4,0.010959,0.011658,0.010213,0.010959,0.006410,0.007542,0.005028,0.006410
10,6,6,0.011658,0.010959,0.010959,0.010213,0.007542,0.006410,0.006410,0.005028
10,6,8,0.012571,0.010517,0.011926,0.009737,0.008889,0.005622,0.007950,0.003975
10,6,10,0.013655,0.010366,0.013064,0.009574,0.010366,0.005333,0.009574,0.003556
10,8,0,0.011383,0.014443,0.009065,0.012696,0.007111,0.011383,0.001778,0.009065
10,8,2,0.011521,0.013422,0.009238,0.011521,0.007330,0.010057,0.002514,0.007330
10,8,4,0.011926,0.012571,0.009737,0.010517,0.007950,0.008889,0.003975,0.005622
10,8,6,0.012571,0.011926,0.010517,0.009737,0.008889,0.007950,0.005622,0.003975
10,8,8,0.013422,0.011521,0.011521,0.009238,0.010057,0.007330,0.007330,0.002514
10,8,10,0.014443,0.011383,0.012696,0.009065,0.011383,0.007111,0.009065,0.001778
10,10,0,0.012571,0.015396,0.008889,0.012571,0.008889,0.012571,0.000000,0.008889
10,10,2,0.012696,0.014443,0.009065,0.011383,0.009065,0.011383,0.001778,0.007111
10,10,4,0.013064,0.013655,0.009574,0.010366,0.009574,0.010366,0.003556,0.005333
10,10,6,0.013655,0.013064,0.010366,0.009574,0.010366,0.009574,0.005333,0.003556
10,10,8,0.014443,0.012696,0.011383,0.009065,0.011383,0.009065,0.007111,0.001778
10,10,10,0.015396,0.012571,0.012571,0.008889,0.012571,0.008889,0.008889,0.000000
